tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 4062.01; Los Angeles County; California,3505,47390,339,926,06,037,406201,1265,0.7320158102766798,1.0,3505.0,35,census_api
Census Tract 4063; Los Angeles County; California,6131,97324,1262,615,06,037,406300,1877,0.3276505061267981,1.0,6131.0,35,census_api
Census Tract 4064.13; Los Angeles County; California,6473,97773,1706,382,06,037,406413,2088,0.18295019157088122,1.0,6473.0,35,census_api
Census Tract 4065; Los Angeles County; California,7682,95840,1306,675,06,037,406500,1981,0.3407370015143867,1.0,7682.0,35,census_api
Census Tract 4066.01; Los Angeles County; California,4923,104360,1150,320,06,037,406601,1470,0.21768707482993196,1.0,4923.0,35,census_api
Census Tract 4066.02; Los Angeles County; California,4846,101351,937,321,06,037,406602,1258,0.25516693163751986,1.0,4846.0,35,census_api
Census Tract 4067.01; Los Angeles County; California,3357,93980,566,371,06,037,406701,937,0.3959445037353255,1.0,3357.0,35,census_api
Census Tract 4067.02; Los Angeles County; California,6512,97688,955,1146,06,037,406702,2101,0.5454545454545454,1.0,6512.0,35,census_api
Census Tract 4068.01; Los Angeles County; California,4932,107396,997,320,06,037,406801,1317,0.24297646165527714,1.0,4932.0,35,census_api
Census Tract 4069.03; Los Angeles County; California,7708,80872,1306,828,06,037,406903,2134,0.3880037488284911,1.0,7708.0,35,census_api
Census Tract 4070.01; Los Angeles County; California,5971,83941,1036,205,06,037,407001,1241,0.1651893634165995,1.0,5971.0,35,census_api
Census Tract 4070.02; Los Angeles County; California,3490,82115,617,101,06,037,407002,718,0.14066852367688024,1.0,3490.0,35,census_api
Census Tract 4071.01; Los Angeles County; California,4633,73438,630,482,06,037,407101,1112,0.43345323741007197,1.0,4633.0,35,census_api
Census Tract 4071.02; Los Angeles County; California,5332,87738,1030,276,06,037,407102,1306,0.2113323124042879,1.0,5332.0,35,census_api
Census Tract 4072.01; Los Angeles County; California,3571,89583,541,297,06,037,407201,838,0.35441527446300713,1.0,3571.0,35,census_api
Census Tract 4072.02; Los Angeles County; California,3035,73529,650,116,06,037,407202,766,0.1514360313315927,1.0,3035.0,35,census_api
Census Tract 4073.01; Los Angeles County; California,3889,79583,704,223,06,037,407301,927,0.2405609492988134,1.0,3889.0,35,census_api
Census Tract 4073.02; Los Angeles County; California,3421,88477,611,182,06,037,407302,793,0.22950819672131148,1.0,3421.0,35,census_api
Census Tract 4074; Los Angeles County; California,1989,121023,436,100,06,037,407400,536,0.1865671641791045,1.0,1989.0,35,census_api
Census Tract 4075.01; Los Angeles County; California,3919,75000,531,437,06,037,407501,968,0.45144628099173556,1.0,3919.0,35,census_api
Census Tract 4075.02; Los Angeles County; California,4007,102868,527,306,06,037,407502,833,0.3673469387755102,1.0,4007.0,35,census_api
Census Tract 4076.01; Los Angeles County; California,3922,68796,356,694,06,037,407601,1050,0.660952380952381,1.0,3922.0,35,census_api
Census Tract 4076.02; Los Angeles County; California,4126,95875,757,288,06,037,407602,1045,0.2755980861244019,1.0,4126.0,35,census_api
Census Tract 4077.01; Los Angeles County; California,4355,65733,429,662,06,037,407701,1091,0.6067827681026581,1.0,4355.0,35,census_api
Census Tract 4077.02; Los Angeles County; California,6635,86182,1384,399,06,037,407702,1783,0.2237801458216489,1.0,6635.0,35,census_api
Census Tract 4078.01; Los Angeles County; California,5157,95670,753,259,06,037,407801,1012,0.25592885375494073,1.0,5157.0,35,census_api
Census Tract 4078.02; Los Angeles County; California,3386,115745,611,159,06,037,407802,770,0.2064935064935065,1.0,3386.0,35,census_api
Census Tract 4079.01; Los Angeles County; California,4374,102390,785,112,06,037,407901,897,0.12486064659977704,1.0,4374.0,35,census_api
Census Tract 4079.02; Los Angeles County; California,1542,82404,399,108,06,037,407902,507,0.21301775147928995,1.0,1542.0,35,census_api
Census Tract 4080.03; Los Angeles County; California,4790,105446,965,247,06,037,408003,1212,0.2037953795379538,1.0,4790.0,35,census_api
Census Tract 4080.04; Los Angeles County; California,2497,88125,445,391,06,037,408004,836,0.4677033492822967,1.0,2497.0,35,census_api
Census Tract 4080.05; Los Angeles County; California,5271,126597,1302,388,06,037,408005,1690,0.22958579881656804,1.0,5271.0,35,census_api
Census Tract 4080.06; Los Angeles County; California,3717,94693,411,614,06,037,408006,1025,0.5990243902439024,1.0,3717.0,35,census_api
Census Tract 4081.33; Los Angeles County; California,6227,99500,779,903,06,037,408133,1682,0.5368608799048752,1.0,6227.0,35,census_api
Census Tract 4081.34; Los Angeles County; California,2823,123542,698,142,06,037,408134,840,0.16904761904761906,1.0,2823.0,35,census_api
Census Tract 4081.35; Los Angeles County; California,4249,83330,729,616,06,037,408135,1345,0.4579925650557621,1.0,4249.0,35,census_api
Census Tract 4081.36; Los Angeles County; California,3716,121076,798,179,06,037,408136,977,0.18321392016376664,1.0,3716.0,35,census_api
Census Tract 4081.37; Los Angeles County; California,4202,82571,589,841,06,037,408137,1430,0.5881118881118881,1.0,4202.0,35,census_api
Census Tract 4081.38; Los Angeles County; California,5035,78696,915,313,06,037,408138,1228,0.254885993485342,1.0,5035.0,35,census_api
Census Tract 4081.39; Los Angeles County; California,4581,89423,690,188,06,037,408139,878,0.214123006833713,1.0,4581.0,35,census_api
Census Tract 4081.40; Los Angeles County; California,3639,73432,569,250,06,037,408140,819,0.3052503052503053,1.0,3639.0,35,census_api
Census Tract 4081.41; Los Angeles County; California,4692,92459,806,192,06,037,408141,998,0.19238476953907815,1.0,4692.0,35,census_api
Census Tract 4082.12; Los Angeles County; California,4641,69645,1033,342,06,037,408212,1375,0.2487272727272727,1.0,4641.0,35,census_api
Census Tract 4082.13; Los Angeles County; California,5847,74519,968,800,06,037,408213,1768,0.45248868778280543,1.0,5847.0,35,census_api
Census Tract 4083.01; Los Angeles County; California,6016,80221,1118,443,06,037,408301,1561,0.2837924407431134,1.0,6016.0,35,census_api
Census Tract 4083.02; Los Angeles County; California,3589,100850,730,279,06,037,408302,1009,0.27651139742319125,1.0,3589.0,35,census_api
Census Tract 4083.03; Los Angeles County; California,4502,108621,1064,192,06,037,408303,1256,0.15286624203821655,1.0,4502.0,35,census_api
Census Tract 4084.01; Los Angeles County; California,4467,87850,815,441,06,037,408401,1256,0.35111464968152867,1.0,4467.0,35,census_api
Census Tract 4084.02; Los Angeles County; California,6606,114583,1719,238,06,037,408402,1957,0.12161471640265713,1.0,6606.0,35,census_api
Census Tract 4085.03; Los Angeles County; California,7037,135179,1750,223,06,037,408503,1973,0.11302584896097313,1.0,7037.0,35,census_api
Census Tract 4085.04; Los Angeles County; California,5262,97448,827,601,06,037,408504,1428,0.4208683473389356,1.0,5262.0,35,census_api
Census Tract 4085.05; Los Angeles County; California,2546,105167,534,194,06,037,408505,728,0.2664835164835165,1.0,2546.0,35,census_api
Census Tract 4086.23; Los Angeles County; California,3232,93036,653,341,06,037,408623,994,0.34305835010060365,1.0,3232.0,35,census_api
Census Tract 4086.24; Los Angeles County; California,3027,111141,875,122,06,037,408624,997,0.12236710130391174,1.0,3027.0,35,census_api
Census Tract 4086.25; Los Angeles County; California,3807,129643,1047,237,06,037,408625,1284,0.18457943925233644,1.0,3807.0,35,census_api
Census Tract 4086.26; Los Angeles County; California,3717,98274,917,432,06,037,408626,1349,0.3202372127501853,1.0,3717.0,35,census_api
Census Tract 4086.27; Los Angeles County; California,2861,115563,745,116,06,037,408627,861,0.13472706155632985,1.0,2861.0,35,census_api
Census Tract 4086.28; Los Angeles County; California,5358,76587,1208,640,06,037,408628,1848,0.3463203463203463,1.0,5358.0,35,census_api
Census Tract 4086.29; Los Angeles County; California,3053,119231,801,131,06,037,408629,932,0.1405579399141631,1.0,3053.0,35,census_api
Census Tract 4086.31; Los Angeles County; California,5195,90263,1069,367,06,037,408631,1436,0.25557103064066855,1.0,5195.0,35,census_api
Census Tract 4087.03; Los Angeles County; California,5743,152143,1648,126,06,037,408703,1774,0.07102593010146561,1.0,5743.0,35,census_api
Census Tract 4087.05; Los Angeles County; California,5580,79798,1417,432,06,037,408705,1849,0.23363980530016226,1.0,5580.0,35,census_api
Census Tract 4087.07; Los Angeles County; California,6618,126069,1929,208,06,037,408707,2137,0.09733270940570894,1.0,6618.0,35,census_api
Census Tract 4087.22; Los Angeles County; California,4210,109567,1041,219,06,037,408722,1260,0.1738095238095238,1.0,4210.0,35,census_api
Census Tract 4087.24; Los Angeles County; California,5362,59059,41,1571,06,037,408724,1612,0.9745657568238213,1.0,5362.0,35,census_api
Census Tract 4087.25; Los Angeles County; California,6075,80469,1054,842,06,037,408725,1896,0.4440928270042194,1.0,6075.0,35,census_api
Census Tract 4088; Los Angeles County; California,4645,51472,232,1553,06,037,408800,1785,0.8700280112044818,1.0,4645.0,35,census_api
Census Tract 4089; Los Angeles County; California,5826,76908,1554,855,06,037,408900,2409,0.3549190535491905,1.0,5826.0,35,census_api
Census Tract 4090; Los Angeles County; California,7673,71411,1027,1141,06,037,409000,2168,0.5262915129151291,1.0,7673.0,35,census_api
Census Tract 4091; Los Angeles County; California,5470,86950,941,444,06,037,409100,1385,0.32057761732851986,1.0,5470.0,35,census_api
Census Tract 4300.03; Los Angeles County; California,4855,140588,1467,149,06,037,430003,1616,0.0922029702970297,1.0,4855.0,35,census_api
Census Tract 4300.04; Los Angeles County; California,3129,90124,679,388,06,037,430004,1067,0.36363636363636365,1.0,3129.0,35,census_api
Census Tract 4300.05; Los Angeles County; California,3849,118569,893,392,06,037,430005,1285,0.3050583657587549,1.0,3849.0,35,census_api
Census Tract 4301.01; Los Angeles County; California,4841,58017,796,1100,06,037,430101,1896,0.580168776371308,1.0,4841.0,35,census_api
Census Tract 4301.02; Los Angeles County; California,5012,91552,732,540,06,037,430102,1272,0.42452830188679247,1.0,5012.0,35,census_api
Census Tract 4302; Los Angeles County; California,1037,121875,269,188,06,037,430200,457,0.4113785557986871,1.0,1037.0,35,census_api
Census Tract 4303.01; Los Angeles County; California,4548,144970,1289,354,06,037,430301,1643,0.21545952525867315,1.0,4548.0,35,census_api
