tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 115; New York County; New York,3475,145521,200,1512,36,061,011500,1712,0.883177570093458,1.0,3475.0,35,census_api
Census Tract 116; New York County; New York,3577,90938,237,1892,36,061,011600,2129,0.8886801315171442,1.0,3577.0,35,census_api
Census Tract 117; New York County; New York,4991,109740,18,3270,36,061,011700,3288,0.9945255474452555,1.0,4991.0,35,census_api
Census Tract 118; New York County; New York,9510,159134,1970,3281,36,061,011800,5251,0.6248333650733193,1.0,9510.0,35,census_api
Census Tract 119; New York County; New York,1040,15971,0,1018,36,061,011900,1018,1.0,1.0,1040.0,35,census_api
Census Tract 120; New York County; New York,2993,153086,1041,632,36,061,012000,1673,0.37776449491930664,1.0,2993.0,35,census_api
Census Tract 121.01; New York County; New York,2837,56935,54,1473,36,061,012101,1527,0.9646365422396856,1.0,2837.0,35,census_api
Census Tract 121.02; New York County; New York,5049,54735,66,3353,36,061,012102,3419,0.9806961099736765,1.0,5049.0,35,census_api
Census Tract 122; New York County; New York,2608,231016,833,458,36,061,012200,1291,0.35476374903175834,1.0,2608.0,35,census_api
Census Tract 124; New York County; New York,9826,140250,1060,3835,36,061,012400,4895,0.7834525025536262,1.0,9826.0,35,census_api
Census Tract 125; New York County; New York,2488,137772,70,1389,36,061,012500,1459,0.9520219328307059,1.0,2488.0,35,census_api
Census Tract 126.01; New York County; New York,7417,104460,2207,1535,36,061,012601,3742,0.41020844468198825,1.0,7417.0,35,census_api
Census Tract 126.02; New York County; New York,4682,194650,957,1517,36,061,012602,2474,0.6131770412287793,1.0,4682.0,35,census_api
Census Tract 127; New York County; New York,7092,145488,1071,3270,36,061,012700,4341,0.7532826537664132,1.0,7092.0,35,census_api
Census Tract 128; New York County; New York,5089,205685,1745,669,36,061,012800,2414,0.2771333885666943,1.0,5089.0,35,census_api
Census Tract 129.01; New York County; New York,7530,117622,579,3964,36,061,012901,4543,0.8725511776359234,1.0,7530.0,35,census_api
Census Tract 129.02; New York County; New York,2350,100991,250,1036,36,061,012902,1286,0.8055987558320373,1.0,2350.0,35,census_api
Census Tract 130; New York County; New York,3632,191016,1297,508,36,061,013000,1805,0.2814404432132964,1.0,3632.0,35,census_api
Census Tract 131; New York County; New York,3018,107018,242,1730,36,061,013100,1972,0.8772819472616633,1.0,3018.0,35,census_api
Census Tract 132.01; New York County; New York,2274,157969,323,791,36,061,013201,1114,0.7100538599640933,1.0,2274.0,35,census_api
Census Tract 132.02; New York County; New York,3261,80132,104,2030,36,061,013202,2134,0.9512652296157451,1.0,3261.0,35,census_api
Census Tract 132.03; New York County; New York,4277,114304,798,1692,36,061,013203,2490,0.6795180722891566,1.0,4277.0,35,census_api
Census Tract 133; New York County; New York,6304,111223,782,3123,36,061,013300,3905,0.7997439180537772,1.0,6304.0,35,census_api
Census Tract 134; New York County; New York,11387,140883,1833,4090,36,061,013400,5923,0.690528448421408,1.0,11387.0,35,census_api
Census Tract 135.01; New York County; New York,4569,115574,100,2393,36,061,013501,2493,0.9598876855194545,1.0,4569.0,35,census_api
Census Tract 135.02; New York County; New York,5593,67279,183,3140,36,061,013502,3323,0.9449292807703882,1.0,5593.0,35,census_api
Census Tract 136.01; New York County; New York,1722,243496,820,104,36,061,013601,924,0.11255411255411256,1.0,1722.0,35,census_api
Census Tract 136.02; New York County; New York,6142,161100,996,1664,36,061,013602,2660,0.6255639097744361,1.0,6142.0,35,census_api
Census Tract 136.03; New York County; New York,3937,120194,157,2206,36,061,013603,2363,0.9335590351248413,1.0,3937.0,35,census_api
Census Tract 136.04; New York County; New York,3435,159876,542,1695,36,061,013604,2237,0.7577112203844435,1.0,3435.0,35,census_api
Census Tract 137; New York County; New York,6673,189541,1338,2076,36,061,013700,3414,0.6080843585237259,1.0,6673.0,35,census_api
Census Tract 138; New York County; New York,12826,134167,2650,4284,36,061,013800,6934,0.6178252091145082,1.0,12826.0,35,census_api
Census Tract 139; New York County; New York,9612,91045,2080,4561,36,061,013900,6641,0.6867941575063996,1.0,9612.0,35,census_api
Census Tract 140; New York County; New York,7487,158780,2153,1862,36,061,014000,4015,0.46376089663760894,1.0,7487.0,35,census_api
Census Tract 142; New York County; New York,4254,250001,1364,546,36,061,014200,1910,0.2858638743455497,1.0,4254.0,35,census_api
Census Tract 144.01; New York County; New York,4514,204073,1411,944,36,061,014401,2355,0.40084925690021234,1.0,4514.0,35,census_api
Census Tract 144.02; New York County; New York,6742,141232,1312,2408,36,061,014402,3720,0.6473118279569893,1.0,6742.0,35,census_api
Census Tract 145; New York County; New York,6620,198766,846,2249,36,061,014500,3095,0.7266558966074314,1.0,6620.0,35,census_api
Census Tract 146.01; New York County; New York,3705,140150,141,2019,36,061,014601,2160,0.9347222222222222,1.0,3705.0,35,census_api
Census Tract 146.02; New York County; New York,8433,124125,1101,3862,36,061,014602,4963,0.7781583719524481,1.0,8433.0,35,census_api
Census Tract 147; New York County; New York,2932,221482,304,1093,36,061,014700,1397,0.7823908375089478,1.0,2932.0,35,census_api
Census Tract 148.01; New York County; New York,2942,244250,565,695,36,061,014801,1260,0.5515873015873016,1.0,2942.0,35,census_api
Census Tract 148.02; New York County; New York,6353,161161,1223,1874,36,061,014802,3097,0.6051017113335486,1.0,6353.0,35,census_api
Census Tract 149; New York County; New York,5781,164779,898,1989,36,061,014900,2887,0.6889504676134396,1.0,5781.0,35,census_api
Census Tract 150.01; New York County; New York,1972,191719,491,444,36,061,015001,935,0.4748663101604278,1.0,1972.0,35,census_api
Census Tract 150.02; New York County; New York,4588,250001,1643,489,36,061,015002,2132,0.22936210131332083,1.0,4588.0,35,census_api
Census Tract 151.01; New York County; New York,2786,28191,96,1489,36,061,015101,1585,0.9394321766561514,1.0,2786.0,35,census_api
Census Tract 151.02; New York County; New York,8161,158593,922,3186,36,061,015102,4108,0.7755598831548198,1.0,8161.0,35,census_api
Census Tract 152; New York County; New York,7864,124571,684,2840,36,061,015200,3524,0.8059023836549376,1.0,7864.0,35,census_api
Census Tract 153.01; New York County; New York,4644,141363,1063,1318,36,061,015301,2381,0.5535489290214196,1.0,4644.0,35,census_api
Census Tract 153.02; New York County; New York,5377,170804,1017,1922,36,061,015302,2939,0.6539639333106498,1.0,5377.0,35,census_api
Census Tract 154.01; New York County; New York,4666,113340,611,2612,36,061,015401,3223,0.8104250698107354,1.0,4666.0,35,census_api
Census Tract 154.02; New York County; New York,3899,138413,677,881,36,061,015402,1558,0.5654685494223364,1.0,3899.0,35,census_api
Census Tract 154.03; New York County; New York,4881,88890,967,1444,36,061,015403,2411,0.5989216092907508,1.0,4881.0,35,census_api
