tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 8.04; Travis County; Texas,2607,64554,467,605,48,453,000804,1072,0.5643656716417911,1.0,2607.0,35,census_api
Census Tract 9.01; Travis County; Texas,3171,108377,461,923,48,453,000901,1384,0.666907514450867,1.0,3171.0,35,census_api
Census Tract 9.02; Travis County; Texas,6016,87125,1189,2454,48,453,000902,3643,0.6736206423277519,1.0,6016.0,35,census_api
Census Tract 10; Travis County; Texas,3291,89036,879,656,48,453,001000,1535,0.4273615635179153,1.0,3291.0,35,census_api
Census Tract 11.01; Travis County; Texas,1755,101936,178,669,48,453,001101,847,0.7898465171192444,1.0,1755.0,35,census_api
Census Tract 11.02; Travis County; Texas,3571,167866,1132,1248,48,453,001102,2380,0.5243697478991597,1.0,3571.0,35,census_api
Census Tract 11.03; Travis County; Texas,3522,161576,1078,1255,48,453,001103,2333,0.5379339905700814,1.0,3522.0,35,census_api
Census Tract 12; Travis County; Texas,6842,146000,1687,2593,48,453,001200,4280,0.6058411214953271,1.0,6842.0,35,census_api
Census Tract 13.04; Travis County; Texas,3966,118961,1033,1070,48,453,001304,2103,0.5087969567284831,1.0,3966.0,35,census_api
Census Tract 13.07; Travis County; Texas,5081,73047,786,1501,48,453,001307,2287,0.6563183209444687,1.0,5081.0,35,census_api
Census Tract 13.08; Travis County; Texas,3191,99609,604,1145,48,453,001308,1749,0.6546598056032018,1.0,3191.0,35,census_api
Census Tract 13.09; Travis County; Texas,2897,144464,772,750,48,453,001309,1522,0.492772667542707,1.0,2897.0,35,census_api
Census Tract 13.10; Travis County; Texas,3908,95781,502,1934,48,453,001310,2436,0.7939244663382594,1.0,3908.0,35,census_api
Census Tract 13.11; Travis County; Texas,1379,106458,147,864,48,453,001311,1011,0.8545994065281899,1.0,1379.0,35,census_api
Census Tract 13.12; Travis County; Texas,4732,102600,999,1302,48,453,001312,2301,0.5658409387222947,1.0,4732.0,35,census_api
Census Tract 14.01; Travis County; Texas,2597,101012,559,997,48,453,001401,1556,0.640745501285347,1.0,2597.0,35,census_api
Census Tract 14.02; Travis County; Texas,2200,82212,776,482,48,453,001402,1258,0.383147853736089,1.0,2200.0,35,census_api
Census Tract 14.03; Travis County; Texas,1477,78036,296,512,48,453,001403,808,0.6336633663366337,1.0,1477.0,35,census_api
Census Tract 15.01; Travis County; Texas,5799,136650,1921,434,48,453,001501,2355,0.18428874734607217,1.0,5799.0,35,census_api
Census Tract 15.03; Travis County; Texas,5214,91813,699,1968,48,453,001503,2667,0.7379077615298087,1.0,5214.0,35,census_api
Census Tract 15.04; Travis County; Texas,6729,102857,1205,1937,48,453,001504,3142,0.6164863144493953,1.0,6729.0,35,census_api
Census Tract 15.05; Travis County; Texas,4702,93565,1169,1301,48,453,001505,2470,0.5267206477732793,1.0,4702.0,35,census_api
Census Tract 16.02; Travis County; Texas,2892,78583,437,1108,48,453,001602,1545,0.7171521035598706,1.0,2892.0,35,census_api
Census Tract 16.03; Travis County; Texas,4390,194500,1423,267,48,453,001603,1690,0.15798816568047339,1.0,4390.0,35,census_api
Census Tract 16.04; Travis County; Texas,4111,233875,1478,201,48,453,001604,1679,0.11971411554496725,1.0,4111.0,35,census_api
Census Tract 16.05; Travis County; Texas,4712,110394,1180,1158,48,453,001605,2338,0.49529512403763903,1.0,4712.0,35,census_api
Census Tract 16.06; Travis County; Texas,86,-666666666,0,5,48,453,001606,5,1.0,1.0,86.0,35,census_api
Census Tract 19.10; Travis County; Texas,4753,150363,991,838,48,453,001910,1829,0.4581738655002734,1.0,4753.0,35,census_api
Census Tract 19.11; Travis County; Texas,3018,87925,123,1693,48,453,001911,1816,0.9322687224669604,1.0,3018.0,35,census_api
