tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 10.03; Miami-Dade County; Florida,6442,57333,1339,833,12,086,001003,2172,0.3835174953959484,1.0,6442.0,35,census_api
Census Tract 10.04; Miami-Dade County; Florida,7302,46473,553,1868,12,086,001004,2421,0.771581990912846,1.0,7302.0,35,census_api
Census Tract 10.05; Miami-Dade County; Florida,1640,26136,160,578,12,086,001005,738,0.7831978319783198,1.0,1640.0,35,census_api
Census Tract 10.06; Miami-Dade County; Florida,4936,30657,580,1091,12,086,001006,1671,0.6529024536205865,1.0,4936.0,35,census_api
Census Tract 10.07; Miami-Dade County; Florida,3154,46413,728,195,12,086,001007,923,0.2112676056338028,1.0,3154.0,35,census_api
Census Tract 10.08; Miami-Dade County; Florida,3290,47917,467,692,12,086,001008,1159,0.5970664365832614,1.0,3290.0,35,census_api
Census Tract 11.01; Miami-Dade County; Florida,5177,60679,887,504,12,086,001101,1391,0.3623292595255212,1.0,5177.0,35,census_api
Census Tract 11.02; Miami-Dade County; Florida,5839,90000,995,249,12,086,001102,1244,0.20016077170418006,1.0,5839.0,35,census_api
Census Tract 11.03; Miami-Dade County; Florida,4517,56625,805,673,12,086,001103,1478,0.4553450608930988,1.0,4517.0,35,census_api
Census Tract 11.04; Miami-Dade County; Florida,4935,151708,1546,199,12,086,001104,1745,0.11404011461318052,1.0,4935.0,35,census_api
Census Tract 12.04; Miami-Dade County; Florida,5915,64155,1380,1097,12,086,001204,2477,0.44287444489301575,1.0,5915.0,35,census_api
Census Tract 12.05; Miami-Dade County; Florida,2438,106919,718,190,12,086,001205,908,0.2092511013215859,1.0,2438.0,35,census_api
Census Tract 12.06; Miami-Dade County; Florida,4028,104958,1300,410,12,086,001206,1710,0.23976608187134502,1.0,4028.0,35,census_api
Census Tract 12.07; Miami-Dade County; Florida,2168,46630,431,195,12,086,001207,626,0.31150159744408945,1.0,2168.0,35,census_api
Census Tract 12.08; Miami-Dade County; Florida,2824,72547,153,1103,12,086,001208,1256,0.8781847133757962,1.0,2824.0,35,census_api
Census Tract 12.09; Miami-Dade County; Florida,3448,43701,346,917,12,086,001209,1263,0.7260490894695171,1.0,3448.0,35,census_api
Census Tract 13.01; Miami-Dade County; Florida,4753,54716,758,1786,12,086,001301,2544,0.7020440251572327,1.0,4753.0,35,census_api
Census Tract 13.02; Miami-Dade County; Florida,6024,72127,1571,1352,12,086,001302,2923,0.46253848785494356,1.0,6024.0,35,census_api
Census Tract 14.01; Miami-Dade County; Florida,6133,25102,260,1928,12,086,001401,2188,0.8811700182815356,1.0,6133.0,35,census_api
Census Tract 14.02; Miami-Dade County; Florida,5175,31745,430,1939,12,086,001402,2369,0.8184888138455044,1.0,5175.0,35,census_api
Census Tract 15.01; Miami-Dade County; Florida,2846,40854,371,620,12,086,001501,991,0.6256306760847629,1.0,2846.0,35,census_api
Census Tract 15.02; Miami-Dade County; Florida,4418,30917,410,959,12,086,001502,1369,0.7005113221329438,1.0,4418.0,35,census_api
